,duration,energy_joules,num_repeats,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,energy_wh_std_codecarbon,power_watt_std,time_sec_std,params,seq_length,batch_size,num_layers,d_model,num_attention_heads,model,source,peak,component,total_energy_kWh,flops_counts,HEF,FLOPs_QKV Projections,HEF_QKV Projections,duration_QKV Projections,FLOPs_Attention Scores,HEF_Attention Scores,duration_Attention Scores,FLOPs_Attention Output,HEF_Attention Output,duration_Attention Output,FLOPs_Final Projection,HEF_Final Projection,duration_Final Projection
66852,2.0013568115234377,197.0135645263672,1,0.7669175918669175,0.1851848759900044,0.1027176610859438,0.0,0.0,0.0,43642344,1024,256,4,1152,4,bert,a100,156.0,Projections,1.0548201289428656,5.260242059264,1.6848320192454873,2.087354105856,68.42841132802758,782.1590346966278,0.618475290624,68.19181895829634,232.5548874848046,0.618475290624,68.19181895829634,0.00023255488748480458,0.695784701952,68.28867171737339,261.2531908252912
64448,0.70266015625,74.42576375,1,0.8221469777170576,0.1980762388225309,0.1099154485790607,0.0,0.0,0.0,35014120,512,256,6,768,4,bert,a100,156.0,Projections,1.1301386651186496,2.579789381632,2.353500660827878,0.463856467968,67.71379459789664,263.47118027171956,0.103079215104,52.65159812902337,75.29847786561824,0.103079215104,52.65159812902337,7.529847786561823e-05,0.154618822656,59.093900904571655,100.63437517968073
57606,2.37244140625,233.78037617187505,1,0.784271773528026,0.1892658129586403,0.1049883700962215,0.0,0.0,0.0,51111912,1024,256,4,1280,8,bert,a100,156.0,Projections,1.0785259565828882,5.844626046976,1.5791981831239161,2.5769803776,68.42845461010066,965.6278271219069,0.68719476736,68.28036097776763,258.05924863217524,0.68719476736,68.28036097776763,0.0002580592486321752,0.8589934592,68.38035514510626,322.1023533159698
27812,0.539194091796875,53.962544707031256,1,0.7842353723877977,0.1935058896218098,0.1077582689582005,0.0,0.0,0.0,23592936,768,160,4,768,4,gpt,a100,156.0,Projections,1.08549953096781,1.64394848256,1.9544226204970097,0.43486543872,67.54085409221219,165.09112913188767,0.14495514624,58.16735648631654,63.8983589087947,0.14495514624,58.16735648631654,6.38983589087947e-05,0.14495514624,58.16735648631654,63.8983589087947
74133,0.3016591415405273,27.069464532699584,3,0.4904581434773156,0.160950637387629,0.090443163080136,1.5274735668811256e-05,0.5562573345334139,0.0003028169962083,4484282,256,256,6,64,2,bert,a100,156.0,Projections,0.7418519439450796,0.289583136768,0.61536413227505,0.004831838208,9.29201492418017,19.99996045995585,0.006442450944,11.34657132579714,21.838013233642883,0.006442450944,11.34657132579714,2.1838013233642884e-05,0.001610612736,4.2249700950528135,14.662031280373677
40479,1.5381561279296876,153.33878439331056,1,0.8914328534234919,0.2185739254170557,0.1217625358746495,0.0,0.0,0.0,52448232,1024,160,6,1024,8,gpt,a100,156.0,Projections,1.2317693147152002,4.299485184,1.7918078640452764,1.03079215104,68.41196146355554,579.5163757173822,0.34359738368,66.62806889976443,198.34409440221717,0.34359738368,66.62806889976443,0.00019834409440221717,0.34359738368,66.62806889976443,198.34409440221717
36942,0.539194091796875,53.962544707031256,1,0.7842353723877977,0.1935058896218098,0.1077582689582005,0.0,0.0,0.0,23592936,768,160,4,768,4,gpt,a100,156.0,Projections,1.08549953096781,1.64394848256,1.9544226204970097,0.43486543872,67.54085409221219,165.09112913188767,0.14495514624,58.16735648631654,63.8983589087947,0.14495514624,58.16735648631654,6.38983589087947e-05,0.14495514624,58.16735648631654,63.8983589087947
40245,0.7211652221679687,85.08307291137696,1,0.7743018652743281,0.1911674881685901,0.1064518057482568,0.0,0.0,0.0,13634536,1280,160,4,512,4,gpt,a100,156.0,Projections,1.0719211591911764,1.8268141568,1.6238091908773253,0.3221225472,66.28842168529623,124.60022855152376,0.268435456,65.08852327717696,105.74768121479096,0.268435456,65.08852327717696,0.00010574768121479096,0.1073741824,53.35899034593298,51.59738117706742
69907,1.315914794921875,128.26221506103516,1,0.9851036455822816,0.2375624467503609,0.1318925714531282,0.0,0.0,0.0,9933288,1280,320,4,384,8,bert,a100,156.0,Projections,1.3545586637857685,2.7405283328,1.3350020366526452,0.3623878656,66.87737208352966,138.94081457388123,0.402653184,67.29442471869632,153.4219314384924,0.402653184,67.29442471869632,0.0001534219314384924,0.1207959552,55.33498053135226,55.974216578254094
37137,1.0134034423828124,97.97584480957032,1,0.8823775020125453,0.216461577814679,0.1205855991872212,0.0,0.0,0.0,52448232,768,160,6,1024,2,gpt,a100,156.0,Projections,1.219424679014449,3.224613888,2.0397209030148074,0.77309411328,68.34470186859392,435.06501834594116,0.19327352832,61.949061951652055,119.99531564946778,0.19327352832,61.949061951652055,0.00011999531564946778,0.25769803776,64.76830660434108,153.02952185112272
57512,0.8051142578125,81.36484689453125,1,0.7202548706478709,0.1742123573397742,0.0966846657793254,0.0,0.0,0.0,14158824,1024,256,4,512,4,bert,a100,156.0,Projections,0.9911518937669708,2.338322120704,1.8617536850251593,0.412316860416,67.3753058443083,156.91546120153103,0.274877906944,65.26567516010327,107.99170379855474,0.274877906944,65.26567516010327,0.00010799170379855474,0.137438953472,57.37169980344698,61.42533238730273
33752,0.5433287963867187,53.68088508300781,1,0.7752281257375628,0.1913878283090288,0.106575224051527,0.0,0.0,0.0,13634536,1024,160,4,512,8,gpt,a100,156.0,Projections,1.0731911780981198,1.46145132544,1.724237292313794,0.25769803776,64.76830660434108,102.01968123408183,0.17179869184,60.511732369657175,72.7973649085773,0.17179869184,60.511732369657175,7.279736490857729e-05,0.08589934592,49.37907876151179,44.604868833616486
27882,0.9136943969726562,88.15323541992187,1,0.8236953834002243,0.2027529447680591,0.1129209752706062,0.0,0.0,0.0,49801192,768,160,4,1280,4,gpt,a100,156.0,Projections,1.1393693034388908,2.73966845952,1.9220843821307743,1.207959552,68.42273437945616,452.67588509958097,0.2415919104,64.22201143679001,96.4570282157515,0.2415919104,64.22201143679001,9.64570282157515e-05,0.402653184,67.29442471869632,153.4219314384924
66952,0.70266015625,74.42576375,1,0.8221469777170576,0.1980762388225309,0.1099154485790607,0.0,0.0,0.0,35014120,512,256,6,768,4,bert,a100,156.0,Projections,1.1301386651186496,2.579789381632,2.353500660827878,0.463856467968,67.71379459789664,263.47118027171956,0.103079215104,52.65159812902337,75.29847786561824,0.103079215104,52.65159812902337,7.529847786561823e-05,0.154618822656,59.093900904571655,100.63437517968073
74141,0.3961303100585938,35.5632122416687,3,0.4952059378310984,0.1624227165716803,0.0912792521277805,2.040343690454404e-05,0.6425124296246931,0.0001777788988234,13969338,256,256,6,192,8,bert,a100,156.0,Projections,0.7489079065305584,0.909014728704,1.470985012692011,0.043486543872,36.59587535582903,45.70349427168165,0.019327352832,23.250184952152527,31.972206923836584,0.019327352832,23.250184952152527,3.1972206923836584e-05,0.014495514624,19.43973449365753,28.679393404918542
66877,0.5337496337890625,52.36617657104492,1,0.7854964681189003,0.189549464725006,0.1051488558184987,0.0,0.0,0.0,3978984,1280,256,6,128,2,bert,a100,156.0,Projections,1.0801947886624053,1.07573116928,1.2919376777155647,0.03221225472,31.258678435912493,39.63484497229313,0.1073741824,53.35899034593298,77.3960717656011,0.1073741824,53.35899034593298,7.739607176560111e-05,0.01073741824,16.00890520377412,25.796743709746288
72723,1.8085831298828128,171.8153973388672,1,1.0302245989012384,0.2482006464681361,0.1378208371461419,0.0,0.0,0.0,43347432,768,320,4,1152,8,bert,a100,156.0,Projections,1.4162460825155136,4.93147693056,1.7478893330273486,1.95689447424,68.42836574511765,733.2745834917055,0.43486543872,67.54085409221219,165.09112913188767,0.43486543872,67.54085409221219,0.00016509112913188766,0.65229815808,68.2408515471309,245.09649891123442
40448,0.7823753662109375,77.88546770629883,1,0.8682036081734417,0.2131573313807284,0.1187445629036147,0.0,0.0,0.0,34620904,768,160,6,768,12,gpt,a100,156.0,Projections,1.2001055024577874,2.41855254528,1.9815989391392905,0.43486543872,67.54085409221219,247.6366936978315,0.14495514624,58.16735648631654,95.84753836319204,0.14495514624,58.16735648631654,9.584753836319204e-05,0.14495514624,58.16735648631654,95.84753836319204
69580,0.656438720703125,65.19749374023438,1,0.8164422456532741,0.1967330213329578,0.109166776812118,0.0,0.0,0.0,27214568,512,256,6,640,8,bert,a100,156.0,Projections,1.12234204379835,2.149889998848,2.09941091404542,0.3221225472,66.28842168529623,186.9003428272856,0.08589934592,49.37907876151179,66.90730325042473,0.08589934592,49.37907876151179,6.690730325042473e-05,0.1073741824,53.35899034593298,77.3960717656011
