,source,batch_size,input_size,hidden_size,component,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,flops_per_second,HEF
0,NVIDIA A100 80GB PCIe,64,64,64,Activations,0,1111,0.0069120001792907,16384,0.0001129993124041,6.573783037211456e-05,3.273745980105804e-05,1.4524022230962648e-05,4,156000000000000.0,2370370.308885221,2e-06
1,NVIDIA A100 80GB PCIe,64,64,64,Cell Update,0,1111,0.0051824641227722,8192,0.0001176890266002,6.825005460342481e-05,3.4250088233381965e-05,1.5188883763400144e-05,4,156000000000000.0,1580715.2362143013,1e-06
2,NVIDIA A100 80GB PCIe,64,64,64,Hidden Update,0,1111,0.0002058240026235,8192,0.0001232074846589,7.152227943763023e-05,3.581867115491459e-05,1.586653406643954e-05,4,156000000000000.0,39800994.51755913,2.6e-05
3,NVIDIA A100 80GB PCIe,64,64,64,compute_gates,0,1111,0.0003358719944953,2097152,0.0001075653102362,6.245227218215632e-05,3.124763360919797e-05,1.38654044448555e-05,4,156000000000000.0,6243902541.357453,0.004003
4,NVIDIA A100 80GB PCIe,64,64,64,hidden_gates,0,1111,0.0002263039946556,2097152,0.0001020424669794,5.917893622964243e-05,2.9678202631432463e-05,1.3185328118417815e-05,4,156000000000000.0,9266968544.640778,0.00594
5,NVIDIA A100 80GB PCIe,64,64,128,Activations,0,1111,0.0002150399982929,32768,9.410620268399664e-05,5.449615470354274e-05,2.7370720785449207e-05,1.2239327195004706e-05,4,156000000000000.0,152380953.5906321,9.8e-05
6,NVIDIA A100 80GB PCIe,64,64,128,Cell Update,0,1111,0.0002242559939622,16384,9.752883101542607e-05,5.5761155717704014e-05,2.89071092367775e-05,1.2860566060944582e-05,4,156000000000000.0,73059362.69762155,4.7e-05
7,NVIDIA A100 80GB PCIe,64,64,128,Hidden Update,0,1111,0.0002160640060901,16384,0.0001042558250317,6.028393710977298e-05,3.0454420196847007e-05,1.351746772516676e-05,4,156000000000000.0,75829381.74888682,4.9e-05
8,NVIDIA A100 80GB PCIe,64,64,128,compute_gates,0,1111,0.0003614720106124,4194304,8.879902485270827e-05,5.119698539957085e-05,2.5971077721289107e-05,1.1630961731848344e-05,4,156000000000000.0,11603399092.765379,0.007438
9,NVIDIA A100 80GB PCIe,64,64,128,hidden_gates,0,1111,0.0002324479967355,8388608,8.418951579175542e-05,4.868142782754603e-05,2.4515645723610997e-05,1.099244224059842e-05,4,156000000000000.0,36088106233.69366,0.023133
