,source,batch_size,input_size,hidden_size,component,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,num_layers,FLOPs_Activations,FLOPs_Cell_Update,FLOPs_Gates,FLOPs_Hidden_Update,hidden_gates,HEF_Activations,duration_Activations,HEF_Cell_Update,duration_Cell_Update,HEF_Hidden_Update,duration_Hidden_Update,HEF_hidden_gates,duration_hidden_gates,HEF_Gates,duration_Gates
1161,NVIDIA A100 80GB PCIe,192,256,192,Cell Update,73728,0.0005196847860117,0.0002910230105932,0.0001483104044815,8.035137093694971e-05,4,156.0,1,1.47456e-07,7.3728e-08,7.5497472e-05,7.3728e-08,5.6623104e-05,0.0010300980732059887,3.6704496156911124,0.000530080622166156,3.5663660571786857,0.000576105288678286,3.2814514562063453,0.5134769833149562,0.025641025641025644,0.30391432884985636,6.369665499848742
3248,NVIDIA A100 80GB PCIe,448,320,640,compute_gates,734003200,0.0011307906217719,0.0006329032841065,0.0003187185774746,0.0001791687601906,4,156.0,1,1.14688e-06,5.7344e-07,0.0007340032,5.7344e-07,0.0014680064,0.005858706939893864,5.0193975887300875,0.0028808245745292962,5.103951789911467,0.003277469619253401,4.48626271231133,5.532048505592925,0.02564102564102564,1.9865974619152273,9.47378381005804
1610,NVIDIA A100 80GB PCIe,256,192,192,Activations,196608,0.0006457414329342,0.0003615825114948,0.0001833144419292,0.0001008444795102,4,156.0,1,1.96608e-07,9.8304e-08,7.5497472e-05,9.8304e-08,7.5497472e-05,0.0013171779039906424,3.827296794121278,0.0006732933189272896,3.7437106737243466,0.0007360166264374694,3.4246717996248033,0.634832929318171,0.02564102564102564,0.30391432884985636,6.369665499848742
1866,NVIDIA A100 80GB PCIe,256,512,256,Cell Update,131072,0.0007740634158065,0.000432347012552,0.0002201305377709,0.0001215858654836,4,156.0,1,2.62144e-07,1.31072e-07,0.000268435456,1.31072e-07,0.000134217728,0.0016835767015794271,3.9924768615146546,0.0008548966404385433,3.9312594690938143,0.0009401013483015264,3.5749555288825827,0.969805481436775,0.025641025641025644,0.8700266973127316,7.911205979673892
500,NVIDIA A100 80GB PCIe,128,64,64,Activations,32768,0.0002634673938148,0.0001482506741545,7.576021838590362e-05,3.945650127435203e-05,4,156.0,1,3.2768e-08,1.6384e-08,4.194304e-06,1.6384e-08,4.194304e-06,0.0002837952845261125,2.960602850072441,0.00015130668443590628,2.7764970574087235,0.00015971869891152768,2.6302653788537924,0.07501485389651076,0.025641025641025644,0.027325548252521446,3.9357401145769377
557,NVIDIA A100 80GB PCIe,128,128,128,Hidden Update,32768,0.0003242293466232,0.0001823882014626,9.304831304970083e-05,4.8792832110846335e-05,4,156.0,1,6.5536e-08,3.2768e-08,1.6777216e-05,3.2768e-08,1.6777216e-05,0.0005143640264744858,3.266966914323295,0.0002697752370407151,3.114463497175326,0.00028857178067117804,2.911598376843804,0.20910711848989058,0.025641025641025644,0.08684181524077221,4.953662293312518
1615,NVIDIA A100 80GB PCIe,256,192,256,Activations,262144,0.0006484276041301,0.0003628764014074,0.0001842625918544,0.0001012886108682,4,156.0,1,2.62144e-07,1.31072e-07,0.000100663296,1.31072e-07,0.000134217728,0.0016835767015794271,3.9924768615146546,0.0008548966404385433,3.9312594690938143,0.0009401013483015264,3.5749555288825827,0.969805481436775,0.025641025641025644,0.38600306947822055,6.6867606968389355
602,NVIDIA A100 80GB PCIe,128,192,64,Hidden Update,16384,0.0003380865954386,0.0001902562633162,9.700755121709028e-05,5.08227809053121e-05,4,156.0,1,3.2768e-08,1.6384e-08,1.2582912e-05,1.6384e-08,4.194304e-06,0.0002837952845261125,2.960602850072441,0.00015130668443590628,2.7764970574087235,0.00015971869891152768,2.6302653788537924,0.07501485389651076,0.025641025641025644,0.06832091221141504,4.722401367130207
2118,NVIDIA A100 80GB PCIe,320,192,256,compute_gates,125829120,0.0007733115459308,0.0004323234014158,0.00021945574362,0.000121532400895,4,156.0,1,3.2768e-07,1.6384e-07,0.00012582912,1.6384e-07,0.00016777216,0.0020358984876796098,4.126950008999426,0.0010285499469806887,4.084415786863597,0.0011364023568147391,3.69677660014789,1.1427133847139936,0.02564102564102564,0.464574933243231,6.944816565508706
3338,NVIDIA A100 80GB PCIe,448,448,512,compute_gates,822083584,0.0011652736332436,0.0006518599659308,0.0003285332981042,0.0001848803692085,4,156.0,1,9.17504e-07,4.58752e-07,0.000822083584,4.58752e-07,0.000939524096,0.004861598626682246,4.839096230738925,0.0024014134793264945,4.898311721882578,0.0027165282113427555,4.330112143049497,4.015422456520298,0.02564102564102564,2.178404074453739,9.67638029308042
862,NVIDIA A100 80GB PCIe,128,512,192,Hidden Update,49152,0.0004429965524407,0.0002490821437035,0.0001261109039441,6.78035047929484e-05,4,156.0,1,9.8304e-08,4.9152e-08,0.000100663296,4.9152e-08,3.7748736e-05,0.0007280687042600683,3.462057041961542,0.0003782315422103684,3.3321062673475357,0.0004077861029521109,3.0906097171626734,0.3806757271500224,0.025641025641025644,0.38600306947822055,6.6867606968389355
805,NVIDIA A100 80GB PCIe,128,448,128,Activations,65536,0.0003859910221319,0.0002160354506095,0.0001112404578811,5.871511364123483e-05,4,156.0,1,6.5536e-08,3.2768e-08,5.8720256e-05,3.2768e-08,1.6777216e-05,0.0005143640264744858,3.266966914323295,0.0002697752370407151,3.114463497175326,0.00028857178067117804,2.911598376843804,0.20910711848989058,0.025641025641025644,0.24658255816004795,6.106058761732562
3189,NVIDIA A100 80GB PCIe,448,256,512,hidden_gates,939524096,0.0010495830739263,0.0005878643591863,0.0002955091569626,0.0001662095577773,4,156.0,1,9.17504e-07,4.58752e-07,0.000469762048,4.58752e-07,0.000939524096,0.004861598626682246,4.839096230738925,0.0024014134793264945,4.898311721882578,0.0027165282113427555,4.330112143049497,4.015422456520298,0.02564102564102564,1.3792450423128622,8.733169486511333
3793,NVIDIA A100 80GB PCIe,512,384,576,compute_gates,905969664,0.0012974510127428,0.0007263878033327,0.0003651991193812,0.0002058640900287,4,156.0,1,1.179648e-06,5.89824e-07,0.000905969664,5.89824e-07,0.001358954496,0.005997889476234551,5.043004666096947,0.002947608989100302,5.130833961905004,0.0033559305857044407,4.50655695088452,5.235058791418484,0.02564102564102564,2.357087963341527,9.855377374921288
2442,NVIDIA A100 80GB PCIe,320,576,576,Hidden Update,368640,0.0010378091292289,0.0005814801874066,0.000292658104404,0.0001636708374181,4,156.0,1,7.3728e-07,3.6864e-07,0.00084934656,3.6864e-07,0.00084934656,0.004045662666762953,4.67281059785973,0.0020075897387241285,4.708286513914373,0.0022589360142882806,4.18440700954773,3.7332621048306094,0.02564102564102564,2.2368829184524786,9.735921689698213
2127,NVIDIA A100 80GB PCIe,320,192,384,Hidden Update,245760,0.0009368550535587,0.000522841251616,0.0002665958343876,0.0001474179675551,4,156.0,1,4.9152e-07,2.4576e-07,0.00018874368,2.4576e-07,0.00037748736,0.0028724996166485236,4.387494727599479,0.0014380604101878638,4.381970616043347,0.0016029977427244474,3.93109627891827,2.0703781106462076,0.025641025641025644,0.6501845375944231,7.443396849096415
2988,NVIDIA A100 80GB PCIe,384,640,512,compute_gates,1006632960,0.0010512598618189,0.0005890032489794,0.0002959429128652,0.0001663136999742,4,156.0,1,7.86432e-07,3.93216e-07,0.00100663296,3.93216e-07,0.000805306368,0.004271419554993498,4.720894966487031,0.002116714184812664,4.763260723059721,0.0023854229432769387,4.226697645747849,3.592268048510935,0.025641025641025644,2.5668978212194227,10.055367738089314
650,NVIDIA A100 80GB PCIe,128,256,64,Activations,32768,0.0003164164503241,0.0001778793089677,9.067009753601892e-05,4.786704382041032e-05,4,156.0,1,3.2768e-08,1.6384e-08,1.6777216e-05,1.6384e-08,4.194304e-06,0.0002837952845261125,2.960602850072441,0.00015130668443590628,2.7764970574087235,0.00015971869891152768,2.6302653788537924,0.07501485389651076,0.025641025641025644,0.08684181524077221,4.953662293312518
1916,NVIDIA A100 80GB PCIe,256,576,256,Cell Update,131072,0.0007985682037438,0.000447035635414,0.0002264752259022,0.0001250573424276,4,156.0,1,2.62144e-07,1.31072e-07,0.000301989888,1.31072e-07,0.000134217728,0.0016835767015794271,3.9924768615146546,0.0008548966404385433,3.9312594690938143,0.0009401013483015264,3.5749555288825827,0.969805481436775,0.025641025641025644,0.958848768824994,8.075653547563505
1417,NVIDIA A100 80GB PCIe,192,576,256,Hidden Update,98304,0.0006527521536041,0.0003652705699934,0.0001857725500068,0.0001017090336038,4,156.0,1,1.96608e-07,9.8304e-08,0.000226492416,9.8304e-08,0.000100663296,0.0013171779039906424,3.827296794121278,0.0006732933189272896,3.7437106737243466,0.0007360166264374694,3.4246717996248033,0.7847297701403981,0.02564102564102564,0.756063149563624,7.681233835435244
2423,NVIDIA A100 80GB PCIe,320,576,320,compute_gates,471859200,0.0008663472340047,0.0004847959433931,0.0002447257160581,0.0001368255745534,4,156.0,1,4.096e-07,2.048e-07,0.0004718592,2.048e-07,0.000262144,0.002461016381469516,4.267571797426573,0.001237076603468106,4.244912591960955,0.001373403024104324,3.8235550374637612,1.5855321307195236,0.025641025641025644,1.384295300616276,8.740153810222067
3138,NVIDIA A100 80GB PCIe,448,192,512,compute_gates,352321536,0.0010956394224788,0.0006132791017314,0.0003087574603391,0.0001736028604082,4,156.0,1,9.17504e-07,4.58752e-07,0.000352321536,4.58752e-07,0.000939524096,0.004861598626682246,4.839096230738925,0.0024014134793264945,4.898311721882578,0.0027165282113427555,4.330112143049497,4.015422456520298,0.02564102564102564,1.0887513061468268,8.297473892759902
2986,NVIDIA A100 80GB PCIe,384,640,512,Cell Update,393216,0.0011815604080313,0.0006616408070918,0.0003328676796272,0.0001870519213122,4,156.0,1,7.86432e-07,3.93216e-07,0.00100663296,3.93216e-07,0.000805306368,0.004271419554993498,4.720894966487031,0.002116714184812664,4.763260723059721,0.0023854229432769387,4.226697645747849,3.592268048510935,0.025641025641025644,2.5668978212194227,10.055367738089314
1467,NVIDIA A100 80GB PCIe,192,640,256,Hidden Update,98304,0.0006770818944608,0.0003801866930359,0.000191671356948,0.0001052238444767,4,156.0,1,1.96608e-07,9.8304e-08,0.00025165824,9.8304e-08,0.000100663296,0.0013171779039906424,3.827296794121278,0.0006732933189272896,3.7437106737243466,0.0007360166264374694,3.4246717996248033,0.7847297701403981,0.02564102564102564,0.8248608874667118,7.822865022043846
2575,NVIDIA A100 80GB PCIe,384,128,384,Activations,589824,0.0009788765657505,0.0005488418279604,0.0002755310957024,0.0001545036420876,4,156.0,1,5.89824e-07,2.94912e-07,0.000150994944,2.94912e-07,0.000452984832,0.0033515842526442314,4.512401052057837,0.0016711923107951764,4.524821054405236,0.001870602903388741,4.042464672832105,2.365050547689933,0.025641025641025644,0.5404285693785814,7.164064688921079
3689,NVIDIA A100 80GB PCIe,512,256,512,hidden_gates,1073741824,0.0011931526458261,0.0006676813674744,0.0003360662338527,0.0001894050444989,4,156.0,1,1.048576e-06,5.24288e-07,0.000536870912,5.24288e-07,0.001073741824,0.005436461485783512,4.945600032828922,0.002678025876885254,5.019847704727036,0.003039683663614309,4.4225924599329645,4.42089985311263,0.025641025641025644,1.538793047379087,8.945920859182007
2533,NVIDIA A100 80GB PCIe,384,64,448,compute_gates,88080384,0.0009071144240009,0.0005079556841458,0.0002560427362229,0.0001431160036321,4,156.0,1,6.88128e-07,3.44064e-07,8.8080384e-05,3.44064e-07,0.000616562688,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.9599844813145992,0.02564102564102564,0.3454658992169057,6.537465462538666
