operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
QKV Projections,0,477,0.007690649938583374,805306368,8.018741987274842e-05,3.8268363943672054e-05,3.1769248970932304e-05,1.0149806958144055e-05,128,273678336,128
Attention Scores,0,477,0.0007745536148548126,268435456,0.00014245135739116493,6.933722213204873e-05,5.540898143825881e-05,1.7705153820857382e-05,128,273678336,128
attention_softmax,0,477,0.00204615686237812,65536,0.00016691522028092353,8.242373260216595e-05,6.392075602545139e-05,2.057073165330614e-05,128,273678336,128
Attention Output,0,479,0.0005955584079027176,268435456,0.00022664289892499937,0.00011222708977598472,8.70190291151653e-05,2.7396780033849304e-05,128,273678336,128
Final Projection,0,499,0.0003932160079479217,268435456,0.00029416511450893227,0.00014594283897082506,0.00011285946789861123,3.536280763949595e-05,128,273678336,128
QKV Projections,0,539,0.0004272127985954285,1811939328,4.951496689271839e-05,2.4504019606297334e-05,2.0138563833063324e-05,4.87238345335773e-06,128,410517504,192
Attention Scores,0,539,0.00042987520098686216,402653184,0.00016278651837329394,7.959639701269339e-05,6.502109435017039e-05,1.8169027010430166e-05,128,410517504,192
attention_softmax,0,539,0.00015257600247859954,65536,0.0002722268753761748,0.00013262616165903295,0.00010885340386043458,3.0747309856707264e-05,128,410517504,192
Attention Output,0,539,0.0003155968070030212,402653184,0.0003868901205157248,0.00018884503996758896,0.0001537373856009239,4.430769494721194e-05,128,410517504,192
Final Projection,0,539,0.0002856959998607636,603979776,0.00047728808257512325,0.0002335382979424594,0.00018856680090887767,5.51829837237862e-05,128,410517504,192
QKV Projections,0,579,0.0006737920045852662,3221225472,2.8532907911905258e-05,1.4256789184941e-05,1.1054050343235409e-05,3.22206838372885e-06,128,547356672,256
Attention Scores,0,579,0.0006631423950195312,536870912,0.0001047909078915416,5.1907152640495725e-05,4.069243555392607e-05,1.2191319697119811e-05,128,547356672,256
attention_softmax,0,579,0.0002322431981563568,65536,0.00013490698913711457,6.821872124618267e-05,5.0748995654721975e-05,1.5939272236209966e-05,128,547356672,256
Attention Output,0,579,0.00040570880770683285,536870912,0.00018500458262691905,9.340801917403496e-05,6.989510874937845e-05,2.1701454703505653e-05,128,547356672,256
Final Projection,0,579,0.0002715647995471954,1073741824,0.0002903418375930128,0.00014412617085994838,0.00011261692670458192,3.359874002848252e-05,128,547356672,256
QKV Projections,0,579,0.0007575551867485046,5033164800,2.1955717932254423e-05,1.0969508775104941e-05,8.085052856927553e-06,2.9011563002219317e-06,128,684195840,320
Attention Scores,0,579,0.000448716801404953,671088640,6.327402871647372e-05,3.175424762744683e-05,2.3547516449110884e-05,7.972264639916e-06,128,684195840,320
attention_softmax,0,579,0.00017633280158042909,65536,0.00014102245012537258,7.070544545442203e-05,5.345001381553329e-05,1.686699085541725e-05,128,684195840,320
Attention Output,0,579,0.0003985407948493958,671088640,0.00017899430056888467,9.083185044289621e-05,6.644944082617783e-05,2.1713009299810603e-05,128,684195840,320
Final Projection,0,579,0.0003473408043384552,1677721600,0.00021084736376983208,0.00010805303088687879,7.707547316033024e-05,2.5718859722622984e-05,128,684195840,320
QKV Projections,0,611,0.000574463987350464,7247757312,2.548200997918896e-05,1.340962184102068e-05,9.243610783772442e-06,2.8287773543958415e-06,128,821035008,384
Attention Scores,0,611,0.00046878719329833987,805306368,6.549104192347e-05,3.4732916679303115e-05,2.3216393906435294e-05,7.541731337731597e-06,128,821035008,384
attention_softmax,0,611,0.0002789375990629196,65536,9.115640361839978e-05,4.9430761770707934e-05,3.103072893567748e-05,1.0694912912014379e-05,128,821035008,384
Attention Output,0,611,0.0005277696013450622,805306368,0.00011824519681679933,6.461905170027649e-05,3.9475831913976994e-05,1.4150313202545857e-05,128,821035008,384
Final Projection,0,611,0.00043007999658584595,2415919104,0.00014468921162757601,7.918550779635325e-05,4.788548447502663e-05,1.7618219356196154e-05,128,821035008,384
QKV Projections,0,649,0.0006635519862174988,9865003008,2.3429875222744182e-05,1.2414398823068495e-05,9.238889891107023e-06,1.7765865085686594e-06,128,957874176,448
