operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
QKV Projections,0,211,0.13107964492440222,805306368,6.360307140379048e-05,1.982073807879972e-05,2.1210224176774852e-05,2.2572109148215904e-05,128,273678336,128
Attention Scores,0,211,0.010609164506196976,268435456,0.0001651217042239937,5.7750823978399564e-05,5.1430395004269935e-05,5.5940485241324196e-05,128,273678336,128
attention_softmax,0,211,0.04637950769215823,65536,0.00027257714611668806,9.856830107679918e-05,8.310532988095323e-05,9.090351515893562e-05,128,273678336,128
Attention Output,0,211,0.00032631040215492244,268435456,0.0003693587580040528,0.00013516749702279993,0.00011171315535763305,0.00012247810562361974,128,273678336,128
Final Projection,0,231,0.00027171840071678165,268435456,0.00046769213065750334,0.00017253319358199944,0.00014069071470789542,0.00015446822236760838,128,273678336,128
QKV Projections,0,271,0.0005008256018161773,1811939328,4.062689581090499e-05,1.5244178862000579e-05,1.206876613764103e-05,1.3313950811263376e-05,128,410517504,192
Attention Scores,0,271,0.0002550912022590637,402653184,0.00013767709282082977,5.162398574360128e-05,4.0902759626128e-05,4.5150347451100524e-05,128,410517504,192
attention_softmax,0,271,0.0001368384003639221,65536,0.00023399531738994326,8.806162600480185e-05,6.936156870335444e-05,7.6572122681787e-05,128,410517504,192
Attention Output,0,271,0.00026573439836502077,402653184,0.00033062105704743716,0.00012437609950080168,9.802595222612671e-05,0.00010821900532050877,128,410517504,192
Final Projection,0,271,0.00022768000066280365,603979776,0.00042896183846207305,0.00016182929613000192,0.00012696378675557086,0.0001401687555765003,128,410517504,192
QKV Projections,0,311,0.0005791808009147644,3221225472,4.0138536492193573e-05,1.5287512230000716e-05,1.1820399745425777e-05,1.3030624516767084e-05,128,547356672,256
Attention Scores,0,311,0.00027894400060176846,536870912,0.0001366350521859277,5.1659041327200425e-05,4.039674072156054e-05,4.4579270137166706e-05,128,547356672,256
attention_softmax,0,311,0.00012485120147466658,65536,0.0002332700868417574,8.823590392199945e-05,6.895043411587723e-05,7.60837488038807e-05,128,547356672,256
Attention Output,0,311,0.000242111998796463,536870912,0.0003333981459767403,0.00012628571213960034,9.845347776267874e-05,0.00010865895607446119,128,547356672,256
Final Projection,0,311,0.000266918396949768,1073741824,0.00043192903008877355,0.0001635103530304008,0.00012759157442656312,0.00014082710263180963,128,547356672,256
QKV Projections,0,311,0.0008061056017875671,5033164800,3.926195146227697e-05,1.459245611840007e-05,1.1729567869444333e-05,1.293992747443257e-05,128,684195840,320
Attention Scores,0,311,0.0003199552059173584,671088640,0.0001370323470344235,5.177787475559928e-05,4.053165881790253e-05,4.472281346092168e-05,128,684195840,320
attention_softmax,0,311,0.00012491519749164583,65536,0.0002467609652421597,9.356935263319932e-05,7.281741878206768e-05,8.037419382689269e-05,128,684195840,320
Attention Output,0,311,0.0002433663994073868,671088640,0.00034697975561848106,0.0001311041048832,0.00010260910118122547,0.00011326654955405554,128,684195840,320
Final Projection,0,311,0.00035713919401168825,1677721600,0.000445011734039346,0.00016847619033639807,0.00013144487998136166,0.00014509066372158616,128,684195840,320
QKV Projections,0,343,0.0009106752038002014,7247757312,4.0026674322694463e-05,1.4991900882399545e-05,1.19156919586083e-05,1.3119081481686616e-05,128,821035008,384
Attention Scores,0,343,0.0003142399966716766,805306368,0.0001391305329210713,5.265648656959804e-05,4.112499189235248e-05,4.534905445912077e-05,128,821035008,384
attention_softmax,0,343,0.00013539199978113175,65536,0.00023821719560016387,8.988529413039778e-05,7.053437470971378e-05,7.779752676005227e-05,128,821035008,384
Attention Output,0,343,0.0002759936034679413,805306368,0.0003355949951293619,0.00012664337909239833,9.935037071609121e-05,0.00010960124532087228,128,821035008,384
Final Projection,0,343,0.0003656064033508301,2415919104,0.0004327985773288336,0.00016335679735199823,0.0001281048790966448,0.00014133690088019053,128,821035008,384
QKV Projections,0,381,0.001343564772605896,9865003008,4.007119037233363e-05,1.5049900928799236e-05,1.1903068474023763e-05,1.3118220969510622e-05,128,957874176,448
Attention Scores,0,381,0.00032986239790916443,939524096,0.00013986943330509177,5.29093756607979e-05,4.134029018915562e-05,4.5619767455138256e-05,128,957874176,448
attention_softmax,0,381,0.00011058560013771056,65536,0.00023858635106761722,9.03833500843984e-05,7.044739790956971e-05,7.775560307364913e-05,128,957874176,448
Attention Output,0,381,0.0003027071952819824,939524096,0.00033609843030217996,0.00012709743501119892,9.934339185956838e-05,0.00010965760343141261,128,957874176,448
Final Projection,0,381,0.0004953984022140502,3288334336,0.00043355325067065875,0.0001638716866527973,0.00012818257123345812,0.00014149899278440337,128,957874176,448
QKV Projections,0,393,0.0014436287879943848,12884901888,4.221544437417179e-05,1.5727012581599754e-05,1.2596606112354167e-05,1.389182568021787e-05,128,1094713344,512
