operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
h_Gates_t0,7,1111,0.08522239685058594,2097152,7.889968240084787e-06,4.599725901499596e-06,2.3818774610544213e-06,9.083648775307675e-07,4,64,64,64,0
Gates_t0,7,1111,0.008839167594909669,2097152,1.640363122915726e-05,9.193618460301423e-06,5.028358467129915e-06,2.1816543017259233e-06,4,64,64,64,0
Activations_t0,0,1111,0.006912000179290771,16384,2.3791276573106956e-05,1.3737788766121639e-05,6.969550575634462e-06,3.083937231350855e-06,4,64,64,64,0
Cell Update_t0,0,1111,0.005182464122772217,8192,3.101163649592975e-05,1.82811257332105e-05,8.809514547607894e-06,3.920996215111358e-06,4,64,64,64,0
Hidden Update_t0,0,1111,0.00013926400244235993,8192,3.6863529394104294e-05,2.1568350589973306e-05,1.0600122646760302e-05,4.6950561573706864e-06,4,64,64,64,0
h_Gates_t1,0,1111,8.601599931716918e-05,2097152,4.514532079982053e-05,2.6120576446686528e-05,1.3121377719315513e-05,5.903366633818484e-06,4,64,64,64,1
Gates_t1,0,1111,0.0002099200040102005,2097152,5.0632226962983664e-05,2.9436412436467663e-05,1.4637184765296449e-05,6.558629761219548e-06,4,64,64,64,1
Activations_t1,0,1111,6.143999844789505e-05,16384,5.569933562688865e-05,3.1931136653895464e-05,1.6402778399990728e-05,7.365420573002453e-06,4,64,64,64,1
Cell Update_t1,0,1111,0.00022015999257564545,8192,6.255647193690099e-05,3.6481418078437855e-05,1.7999622733020845e-05,8.07543112544229e-06,4,64,64,64,1
Hidden Update_t1,0,1111,0.0002037760019302368,8192,6.808741097873232e-05,3.975586514215479e-05,1.958774011462383e-05,8.743805721953689e-06,4,64,64,64,1
h_Gates_t2,0,1111,0.00022630399465560914,2097152,7.437503213443092e-05,4.305281222016788e-05,2.1672679838128858e-05,9.64954007613418e-06,4,64,64,64,2
Gates_t2,0,1111,0.00033484798669815064,2097152,7.921230378374043e-05,4.557725868536977e-05,2.328929140919811e-05,1.0345753689172555e-05,4,64,64,64,2
Activations_t2,0,1111,0.0002252800017595291,16384,8.59897831552998e-05,5.010781786651819e-05,2.485868405359762e-05,1.1023281235183991e-05,4,64,64,64,2
Cell Update_t2,0,1111,0.00021503999829292298,8192,9.019938192217049e-05,5.212615281280364e-05,2.638304832864452e-05,1.1690180780722333e-05,4,64,64,64,2
Hidden Update_t2,0,1111,0.0002037760019302368,8192,9.482240937589957e-05,5.465754372835363e-05,2.7838527270807392e-05,1.2326338376738549e-05,4,64,64,64,2
h_Gates_t3,0,1111,0.00021503999829292298,2097152,0.00010204246697949271,5.917893622964243e-05,2.9678202631432463e-05,1.3185328118417817e-05,4,64,64,64,3
Gates_t3,0,1111,0.00033587199449539186,2097152,0.00010756531023620979,6.245227218215632e-05,3.124763360919797e-05,1.38654044448555e-05,4,64,64,64,3
Activations_t3,0,1111,0.0002037760019302368,16384,0.00011299931240413524,6.573783037211456e-05,3.2737459801058036e-05,1.4524022230962648e-05,4,64,64,64,3
Cell Update_t3,0,1111,0.00021503999829292298,8192,0.00011768902660020692,6.825005460342481e-05,3.4250088233381965e-05,1.5188883763400144e-05,4,64,64,64,3
Hidden Update_t3,0,1111,0.00020582400262355804,8192,0.00012320748465898435,7.152227943763023e-05,3.581867115491459e-05,1.586653406643954e-05,4,64,64,64,3
h_Gates_t0,0,1111,0.014854144096374512,8388608,2.5664804325244075e-06,1.230278758868053e-06,7.50990878567448e-07,5.852107950889063e-07,4,64,128,64,0
Gates_t0,0,1111,0.00037068799138069154,4194304,7.856767217395162e-06,4.5038924803009195e-06,2.1589872827420392e-06,1.193887454352202e-06,4,64,128,64,0
Activations_t0,0,1111,0.00011161600053310394,32768,1.3389455513701969e-05,7.791950672242365e-06,3.719534364510224e-06,1.877970476949378e-06,4,64,128,64,0
Cell Update_t0,0,1111,0.0001157120019197464,16384,1.848701683063426e-05,1.031445269106257e-05,5.5095919076694755e-06,2.6629722319022132e-06,4,64,128,64,0
Hidden Update_t0,0,1111,6.348799914121628e-05,16384,2.5484624418593595e-05,1.4860289653029213e-05,7.196106590211596e-06,3.428228175352787e-06,4,64,128,64,0
h_Gates_t1,0,1111,0.00012492799758911133,8388608,2.9802824008134807e-05,1.6896124613197117e-05,8.779260912286993e-06,4.127438482650697e-06,4,64,128,64,1
Gates_t1,0,1111,0.00020070399343967437,4194304,3.4648952518803806e-05,1.941501551883107e-05,1.0396228872529625e-05,4.837708127443112e-06,4,64,128,64,1
Activations_t1,0,1111,6.553599983453751e-05,32768,4.1471549420155615e-05,2.3959463607781117e-05,1.1980018750674601e-05,5.5320670616998955e-06,4,64,128,64,1
Cell Update_t1,0,1111,0.0002242559939622879,16384,4.719222206480291e-05,2.7250577350201866e-05,1.3656192036054504e-05,6.28545267854654e-06,4,64,128,64,1
Hidden Update_t1,0,1111,0.0002109439969062805,16384,5.058257296327805e-05,2.8515578360810423e-05,1.5163662408695933e-05,6.903332193771696e-06,4,64,128,64,1
h_Gates_t2,0,1111,0.00023244799673557281,8388608,5.800714726632822e-05,3.305252643670542e-05,1.713714648748227e-05,7.81747434214053e-06,4,64,128,64,2
Gates_t2,0,1111,0.00035635200142860414,4194304,6.471419875804101e-05,3.7591141179404985e-05,1.8643371025792166e-05,8.47968655284387e-06,4,64,128,64,2
Activations_t2,0,1111,0.00021503999829292298,32768,6.88205688132441e-05,3.9638642817863e-05,2.007775967330372e-05,9.104166322077397e-06,4,64,128,64,2
Cell Update_t2,0,1111,0.00021913599967956544,16384,7.348929026620563e-05,4.215503371440832e-05,2.160248839308543e-05,9.731768158711902e-06,4,64,128,64,2
Hidden Update_t2,0,1111,0.00021401600539684294,16384,7.877867813500015e-05,4.5399480757879473e-05,2.3025298142444195e-05,1.0353899234676507e-05,4,64,128,64,2
h_Gates_t3,0,1111,0.00022323200106620788,8388608,8.418951579175542e-05,4.868142782754603e-05,2.4515645723610993e-05,1.099244224059842e-05,4,64,128,64,3
Gates_t3,0,1111,0.0003614720106124878,4194304,8.879902485270827e-05,5.119698539957085e-05,2.5971077721289107e-05,1.1630961731848343e-05,4,64,128,64,3
Activations_t3,0,1111,0.00020070399343967437,32768,9.410620268399663e-05,5.449615470354274e-05,2.7370720785449207e-05,1.2239327195004706e-05,4,64,128,64,3
Cell Update_t3,0,1111,0.00021913599967956544,16384,9.752883101542607e-05,5.5761155717704014e-05,2.89071092367775e-05,1.2860566060944582e-05,4,64,128,64,3
Hidden Update_t3,0,1111,0.00021606400609016418,16384,0.00010425582503178673,6.028393710977298e-05,3.0454420196847007e-05,1.351746772516676e-05,4,64,128,64,3
h_Gates_t0,0,1111,0.00023449599742889405,18874368,5.582656445081343e-07,0.0,4.324884015447644e-07,1.2577724296336986e-07,4,64,192,64,0
Gates_t0,0,1111,0.00022118400037288665,6291456,7.744198256748675e-06,4.554448096882879e-06,2.241398182004778e-06,9.483519778610184e-07,4,64,192,64,0
Activations_t0,0,1111,4.915200173854828e-05,49152,1.3564725543397166e-05,7.832228501314376e-06,4.003257369268945e-06,1.729239672813845e-06,4,64,192,64,0
Cell Update_t0,0,1111,6.963200122117996e-05,24576,1.9499166667519176e-05,1.112639779776714e-05,5.839406893744931e-06,2.5333619760071052e-06,4,64,192,64,0
Hidden Update_t0,0,1111,6.348799914121628e-05,24576,2.6863987615091562e-05,1.5693345893907917e-05,7.766760657846802e-06,3.403881063336842e-06,4,64,192,64,0
h_Gates_t1,0,1111,6.656000018119811e-05,18874368,3.1541478918549256e-05,1.8199181230471595e-05,9.283419648949826e-06,4.058878039127834e-06,4,64,192,64,1
Gates_t1,0,1113,0.005803008079528809,6291456,3.716036065286999e-05,2.1481683855739675e-05,1.0890749545923104e-05,4.787927251207214e-06,4,64,192,64,1
Activations_t1,0,1113,6.963200122117996e-05,49152,4.2858735043717606e-05,2.477085315533145e-05,1.2543735034977604e-05,5.54414685340855e-06,4,64,192,64,1
Cell Update_t1,0,1113,0.0002170879989862442,24576,4.777346728588128e-05,2.7285021833023393e-05,1.421965804238555e-05,6.26878741047234e-06,4,64,192,64,1
Hidden Update_t1,0,1113,0.00020479999482631684,24576,5.4473771097022116e-05,3.18341921357046e-05,1.5738542313042947e-05,6.901036648274573e-06,4,64,192,64,1
h_Gates_t2,0,1113,0.00021196800470352174,18874368,5.86656334188349e-05,3.385558264312749e-05,1.726694186909676e-05,7.543108906610655e-06,4,64,192,64,2
Gates_t2,0,1113,0.000347135990858078,6291456,6.350053073647446e-05,3.6372529098827044e-05,1.8874868988771887e-05,8.253132648875539e-06,4,64,192,64,2
Activations_t2,0,1113,0.00019865599274635314,49152,7.017075560375055e-05,4.091586606946862e-05,2.0355841562435736e-05,8.899047971846202e-06,4,64,192,64,2
Cell Update_t2,0,1113,0.00013926400244235993,24576,7.42204154810568e-05,4.293614545858304e-05,2.1767720469717533e-05,9.516549552756236e-06,4,64,192,64,2
Hidden Update_t2,0,1113,0.00020479999482631684,24576,7.877794959219834e-05,4.545392525301395e-05,2.3190411607866904e-05,1.0133612731317496e-05,4,64,192,64,2
h_Gates_t3,0,1113,0.0002252800017595291,18874368,8.41708985405304e-05,4.872726120908055e-05,2.468090724470906e-05,1.0762730086740793e-05,4,64,192,64,3
Gates_t3,0,1113,0.0003266560137271881,6291456,9.009018443688497e-05,5.202448606667076e-05,2.648839257958502e-05,1.1577305790629195e-05,4,64,192,64,3
Activations_t3,0,1113,0.00020684799551963807,49152,9.473913491944344e-05,5.4532265849616124e-05,2.7978952105366453e-05,1.2227916964460881e-05,4,64,192,64,3
Cell Update_t3,0,1113,0.0002314240038394928,24576,0.00010142062719456437,5.907310281827449e-05,2.948123469607815e-05,1.2866289680211735e-05,4,64,192,64,3
Hidden Update_t3,0,1113,0.00020684799551963807,24576,0.00010557226960008352,6.109449331859196e-05,3.096036337938042e-05,1.3517412902111154e-05,4,64,192,64,3
h_Gates_t0,0,1113,0.00021401600539684294,33554432,1.7092606419773745e-06,1.2469454446772943e-06,3.446319423745098e-07,1.1768325492557036e-07,4,64,256,64,0
Gates_t0,0,1113,0.0003973119854927063,8388608,5.109967458501806e-06,2.5133353496187283e-06,1.8342289673806828e-06,7.624031415023951e-07,4,64,256,64,0
Activations_t0,0,1113,5.119999870657921e-05,65536,1.1888862966080863e-05,7.118061240873885e-06,3.3471585110592117e-06,1.423643214147767e-06,4,64,256,64,0
Cell Update_t0,0,1113,6.963200122117996e-05,32768,1.7452776258451583e-05,1.0358063835980147e-05,4.9531703514224534e-06,2.1415420710489835e-06,4,64,256,64,0
Hidden Update_t0,0,1113,7.27040022611618e-05,32768,2.3144421230348156e-05,1.3664733149454378e-05,6.593694997175312e-06,2.885993083718467e-06,4,64,256,64,0
h_Gates_t1,0,1113,7.98719972372055e-05,33554432,2.8000986665203664e-05,1.6183068495934094e-05,8.21224351423358e-06,3.605674655035991e-06,4,64,256,64,1
Gates_t1,0,1113,0.00019968000054359437,8388608,3.4922290721695614e-05,2.0731683250119204e-05,9.863601224209886e-06,4.327006247366525e-06,4,64,256,64,1
Activations_t1,0,1113,5.8368001133203504e-05,65536,3.923207040316489e-05,2.277501822334216e-05,1.1446938046432223e-05,5.0101141333905136e-06,4,64,256,64,1
Cell Update_t1,0,1113,7.065600156784058e-05,32768,4.41865845558276e-05,2.530224246655166e-05,1.3122309942282737e-05,5.762032146993201e-06,4,64,256,64,1
Hidden Update_t1,0,1113,5.939200147986412e-05,32768,5.162419278976517e-05,2.9848634991225254e-05,1.5114107924612055e-05,6.661449873927859e-06,4,64,256,64,1
h_Gates_t2,0,1113,0.00021503999829292298,33554432,5.721763752746959e-05,3.313224873124909e-05,1.6698681970045426e-05,7.3867068261750715e-06,4,64,256,64,2
Gates_t2,0,1113,0.00034303998947143557,8388608,6.275480436968543e-05,3.642308469409272e-05,1.8286240184536492e-05,8.045479491056225e-06,4,64,256,64,2
Activations_t2,0,1113,0.00019763199985027314,65536,6.740877181844858e-05,3.893058669746097e-05,1.9788480552994717e-05,8.689704567992898e-06,4,64,256,64,2
Cell Update_t2,0,1113,0.00022835199534893035,32768,7.4276333068245e-05,4.347642366653304e-05,2.1388007665948394e-05,9.411901735763575e-06,4,64,256,64,2
Hidden Update_t2,0,1113,0.00019968000054359437,32768,7.85161747437175e-05,4.5496703062752886e-05,2.293629307124033e-05,1.0083178609724285e-05,4,64,256,64,2
h_Gates_t3,0,1113,0.00022732800245285034,33554432,8.326281167094292e-05,4.800281617889368e-05,2.4505944049185366e-05,1.0754051442863877e-05,4,64,256,64,3
Gates_t3,0,1113,0.0003409920036792755,8388608,9.003312307737943e-05,5.254809759591694e-05,2.605350917612298e-05,1.1431516305339525e-05,4,64,256,64,3
Activations_t3,0,1113,0.00020889599621295928,65536,9.422318926074998e-05,5.457087698701457e-05,2.755541898876411e-05,1.2096893284971321e-05,4,64,256,64,3
Cell Update_t3,0,1113,0.00021299199759960174,32768,9.894564691952943e-05,5.708532344428363e-05,2.9080025208448948e-05,1.2780298266796864e-05,4,64,256,64,3
Hidden Update_t3,0,1113,0.0002037760019302368,32768,0.00010569588276853016,6.163171597250994e-05,3.061590921493024e-05,1.3448257581090003e-05,4,64,256,64,3
h_Gates_t0,0,1113,0.005916672229766846,52428800,1.9794406229059553e-06,1.2780565796788323e-06,4.821873301943252e-07,2.1919671303279782e-07,4,64,320,64,0
Gates_t0,0,1113,0.00023449599742889405,10485760,7.760966667904945e-06,4.558336978988109e-06,2.1999553710735226e-06,1.0026743178433133e-06,4,64,320,64,0
