operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
h_Gates_t0,2,771,0.08900300598144531,52428800000,7.98495094575723e-06,4.602225914140945e-06,2.403272478170883e-06,9.794525534454015e-07,4,640,3200,640,0
Gates_t0,2,835,0.010084351539611817,10485760000,1.601054023581118e-05,9.207507364550338e-06,4.71072043523675e-06,2.0923124360240905e-06,4,640,3200,640,0
Activations_t0,5,835,0.006545407772064209,8192000,2.348611295744582e-05,1.3763899900709475e-05,6.690990075008908e-06,3.0312229817274392e-06,4,640,3200,640,0
Cell Update_t0,5,875,0.007000063896179199,4096000,3.0828828659223675e-05,1.8307792426952574e-05,8.602831604480397e-06,3.918204627790702e-06,4,640,3200,640,0
Hidden Update_t0,5,875,0.00027136000990867615,4096000,3.4694165855905944e-05,1.961501569525126e-05,1.035567634008808e-05,4.723473820566604e-06,4,640,3200,640,0
h_Gates_t1,0,907,0.0011069439649581908,52428800000,4.151975257599199e-05,2.4170852668703446e-05,1.1926603152385236e-05,5.422296754903304e-06,4,640,3200,640,1
Gates_t1,0,939,0.0008007680177688598,10485760000,4.7146525696374546e-05,2.7475577539348706e-05,1.3544037224109636e-05,6.126910932916203e-06,4,640,3200,640,1
Activations_t1,0,939,0.00023039999604225158,8192000,5.437999687512584e-05,3.203835897025442e-05,1.5363212012781038e-05,6.97842589209038e-06,4,640,3200,640,1
Cell Update_t1,0,939,0.00021913599967956544,4096000,5.780295305550401e-05,3.334419335132566e-05,1.6856437096248182e-05,7.60232260793017e-06,4,640,3200,640,1
Hidden Update_t1,0,939,0.00019968000054359437,4096000,6.309277338119517e-05,3.658919594329291e-05,1.830426158784071e-05,8.199315850061551e-06,4,640,3200,640,1
h_Gates_t2,0,939,0.0007045120000839233,52428800000,6.973601490502833e-05,4.1155588476726734e-05,1.976283442136392e-05,8.817592006937677e-06,4,640,3200,640,2
Gates_t2,0,939,0.0004433920085430145,10485760000,7.303064636726857e-05,4.246558952303303e-05,2.115335636711398e-05,9.41170047712156e-06,4,640,3200,640,2
Activations_t2,0,939,0.0002396160066127777,8192000,7.831503744005744e-05,4.573003658236985e-05,2.2567044998063573e-05,1.0017955859624024e-05,4,640,3200,640,2
Cell Update_t2,0,939,0.00025497600436210634,4096000,8.340112510779948e-05,4.83225386638253e-05,2.4297494160199578e-05,1.078109228377461e-05,4,640,3200,640,2
Hidden Update_t2,0,939,0.00019353599846363067,4096000,8.877691215530061e-05,5.1597263510672065e-05,2.5757130883464823e-05,1.1422517761163721e-05,4,640,3200,640,2
h_Gates_t3,0,939,0.0006737920045852661,52428800000,9.408279976563749e-05,5.483698831909578e-05,2.7215809828185443e-05,1.2030001618356267e-05,4,640,3200,640,3
Gates_t3,0,939,0.00041779199242591856,10485760000,9.748259206380079e-05,5.6144211587394466e-05,2.867472988420767e-05,1.2663650592198657e-05,4,640,3200,640,3
Activations_t3,0,939,0.00022937600314617158,8192000,0.00010409886958823931,6.077171528673375e-05,3.0065535719073938e-05,1.326161858243162e-05,4,640,3200,640,3
Cell Update_t3,0,939,0.00021913599967956544,4096000,0.00010936998377520993,6.402894011259264e-05,3.147895323869581e-05,1.3862090423921477e-05,4,640,3200,640,3
Hidden Update_t3,0,939,0.00020684799551963807,4096000,0.00011277563334979293,6.533894116245165e-05,3.2949355248351026e-05,1.4487336938990257e-05,4,640,3200,640,3
h_Gates_t0,0,1629,0.0017223680019378663,209715200000,5.11314652815309e-07,0.0,3.645772361047118e-07,1.4673741671059725e-07,4,640,6400,640,0
Gates_t0,0,1693,0.0009349120259284973,20971520000,7.83812531329921e-06,4.771114930690601e-06,2.115836692667748e-06,9.511736899408611e-07,4,640,6400,640,0
Activations_t0,0,1693,0.00022015999257564545,16384000,1.3575141688998616e-05,8.076950908986191e-06,3.788801642148399e-06,1.7093891378640244e-06,4,640,6400,640,0
Cell Update_t0,1,1693,0.00022835199534893035,8192000,1.8895490419065747e-05,1.1348897981378059e-05,5.2239191791297835e-06,2.322673258557904e-06,4,640,6400,640,0
Hidden Update_t0,1,1693,0.00021913599967956544,8192000,2.4032453036752e-05,1.3938066718566233e-05,6.9869867006953825e-06,3.1073996174903845e-06,4,640,6400,640,0
h_Gates_t1,1,1693,0.0018216960430145264,209715200000,2.934940079754641e-05,1.719723598725409e-05,8.423689794500515e-06,3.7284750157918077e-06,4,640,6400,640,1
Gates_t1,0,1757,0.0008765439987182618,20971520000,3.615558511143551e-05,2.1916961983947658e-05,9.882559294930259e-06,4.356063832557594e-06,4,640,6400,640,1
Activations_t1,0,1757,0.0002252800017595291,16384000,4.002053153547282e-05,2.322501858387227e-05,1.163439069639359e-05,5.161122255206966e-06,4,640,6400,640,1
Cell Update_t1,0,1757,0.00022118400037288665,8192000,4.679170957196653e-05,2.7801411143002497e-05,1.3184193880679267e-05,5.806104548284771e-06,4,640,6400,640,1
Hidden Update_t1,1,1757,0.0002109439969062805,8192000,5.2159111123402194e-05,3.1055302635252247e-05,1.4665089787616547e-05,6.438718700533406e-06,4,640,6400,640,1
h_Gates_t2,1,1757,0.0018042880296707153,209715200000,5.566707180753453e-05,3.235835923121044e-05,1.619184045346066e-05,7.116872122863434e-06,4,640,6400,640,2
Gates_t2,1,1757,0.0005683199763298034,20971520000,6.258021440468436e-05,3.710252969213457e-05,1.771885834174079e-05,7.758826370809007e-06,4,640,6400,640,2
Activations_t2,1,1757,0.00022118400037288665,16384000,6.793214919302084e-05,4.0397254554846995e-05,1.915483615718902e-05,8.380058480984833e-06,4,640,6400,640,2
Cell Update_t2,1,1757,0.00023756800591945648,8192000,7.176272929418991e-05,4.1703366711942635e-05,2.088488726345269e-05,9.174475318794587e-06,4,640,6400,640,2
Hidden Update_t2,1,1757,0.0001157120019197464,8192000,7.837092639627055e-05,4.62614259042482e-05,2.2320272022870744e-05,9.789228469151606e-06,4,640,6400,640,2
h_Gates_t3,0,1757,0.0017704960107803344,209715200000,8.357420759614752e-05,4.9514206285294904e-05,2.368683478278595e-05,1.0373166528066654e-05,4,640,6400,640,3
Gates_t3,0,1757,0.0004075520038604736,20971520000,8.70221880331629e-05,5.082281844437375e-05,2.518943515153146e-05,1.1009934437257687e-05,4,640,6400,640,3
Activations_t3,0,1757,0.00017100800573825837,16384000,9.246506863834395e-05,5.4315321239784e-05,2.655632846726842e-05,1.1593418931291533e-05,4,640,6400,640,3
Cell Update_t3,0,1757,0.00013926400244235993,8192000,9.573560607281539e-05,5.5621433393326924e-05,2.7945180411680743e-05,1.2168992267807718e-05,4,640,6400,640,3
